# 5: trying to hover at (0, 0, 1) 100 episodees per world, limited to four moves each episode. collision detection exists. Took so long.
episode episodic_reward average_reward world_file timestamp
1 -4236.12952789763 -4236.12952789763 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T03:59:27.835050
2 -4245.205770218447 -4240.6676490580385 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:00:37.478238
3 -13483.794239823017 -7321.709845979698 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:01:45.072582
4 -10241.708326899963 -8051.709466209764 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:03:54.995748
5 -9192.320821819478 -8279.831737331708 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:05:10.573739
6 -4234.501613371875 -7605.610050005068 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:07:03.223601
7 -3257.644797132327 -6984.472156737534 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:08:15.680619
8 -4247.395772461668 -6642.33760870305 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:09:19.783540
9 -4231.594618352677 -6374.477276441898 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:10:23.551598
10 -6247.279764862899 -6361.757525283998 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:11:27.183371
11 -5240.975263073204 -6259.86822871938 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:12:28.776161
12 -4235.275465201865 -6091.15216509292 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:13:30.980011
13 -11413.045254028322 -6500.52855654949 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:15:20.172382
14 -5246.233989365747 -6410.9360874649365 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:16:23.451162
15 -4247.081783670472 -6266.679133878639 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:17:24.345384
16 -6253.111838005677 -6265.831177886579 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:18:26.431755
17 -5256.89061123609 -6206.481732789492 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:19:31.101470
18 -6252.788578163323 -6209.054335310259 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:20:40.595790
19 -5242.537206129267 -6158.185012721787 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:21:45.972865
20 -4244.283028363636 -6062.4899135038795 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:22:51.784853
21 -3241.752452545262 -5928.16908202966 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-16T04:24:36.836220
