# 3: navigating to random free spots in each map; ran overnight, but realized that drone was potentially spawning within walls. this encouraged me to manually enter in all of the free spots in each world.
episode episodic_reward average_reward world_file timestamp
0 -24414.768709331933 -24414.768709331933 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:21:00.573301
1 -23417.039403853603 -23915.904056592768 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:22:04.837823
2 -19889.660724583482 -22573.822945923006 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:22:59.144609
3 -19889.660724583482 -21902.782390588123 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:23:53.975380
4 -18889.644521383194 -21300.154816747137 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:24:59.783761
5 -13167.347266595334 -19944.686891721834 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:26:13.459590
6 -54511.116353210055 -24882.74824336301 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:27:51.214459
7 -139498.43792486234 -39209.70945355043 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:28:47.282192
8 -55997.74414599288 -41075.04664159959 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:30:15.195235
9 -111546.30323440876 -48122.172300880506 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:31:28.343858
10 -200032.46321440034 -61932.19874756413 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:32:09.217201
11 -200032.46321440034 -73440.55411980048 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:33:03.372236
12 -203935.99624681025 -83478.66505264738 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:33:56.917058
13 -200032.46321440034 -91803.93634991544 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:34:50.489789
14 -203935.99624681025 -99279.40700970843 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:35:42.275927
15 -203935.99624681025 -105820.4438370273 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:36:35.946270
16 -203935.99624681025 -111591.9469199557 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:37:29.708536
17 -203935.99624681025 -116722.17188255874 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:38:31.509021
18 -200032.46321440034 -121106.92405791882 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:39:31.715023
19 -203935.99624681025 -125248.37766736338 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:40:34.061255
20 -200032.46321440034 -128809.52459817466 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:41:35.417025
21 -203935.99624681025 -132224.36421856718 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:42:38.079068
22 -203935.99624681025 -135342.2612632734 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:43:40.072977
23 -203935.99624681025 -138200.33355425412 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:44:43.102113
24 -200032.46321440034 -140673.61874065996 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:45:47.277672
25 -203935.99624681025 -143106.78710628112 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:46:53.897246
26 -203935.99624681025 -145359.72077815258 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:47:58.446553
27 -203935.99624681025 -147451.7306163189 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:49:04.837887
28 -203935.99624681025 -149399.46391392208 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:50:11.870358
29 -203935.99624681025 -151217.34832501833 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:51:05.881490
30 -203935.99624681025 -152917.94987088258 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:51:59.676607
31 -203935.99624681025 -154512.26382013035 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:53:07.776116
32 -203935.99624681025 -156009.95268154488 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:54:16.849589
33 -203935.99624681025 -157419.54219817033 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:55:11.767467
34 -200032.46321440034 -158637.05422720546 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:56:19.978234
35 -200032.46321440034 -159786.926699072 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:57:02.106641
36 -203935.99624681025 -160980.1447949568 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:57:57.267462
37 -200032.46321440034 -162007.83738494216 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:58:52.481941
38 -200032.46321440034 -162982.8277908257 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T01:59:47.630278
39 -203935.99624681025 -164006.65700222534 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:00:43.044796
40 -203935.99624681025 -168494.6876906623 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:01:38.328649
41 -203935.99624681025 -173007.66161173623 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:02:34.166528
42 -200032.46321440034 -177511.23167398162 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:03:29.635971
43 -200032.46321440034 -182014.80173622706 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:04:25.095170
44 -203935.99624681025 -186640.96052936272 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:05:21.377412
45 -200032.46321440034 -191312.58842805788 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:06:17.475311
46 -200032.46321440034 -194950.6220995876 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:07:12.903671
47 -200032.46321440034 -196463.97273182607 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:08:08.400458
48 -200032.46321440034 -200064.84070853624 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:08:56.979168
49 -203935.99624681025 -202374.58303384628 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:09:53.192148
50 -200032.46321440034 -202374.58303384628 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:10:35.438627
51 -203935.99624681025 -202472.17135965652 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:11:23.490325
52 -203935.99624681025 -202472.17135965652 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:12:05.824773
53 -203935.99624681025 -202569.75968546676 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:12:48.156286
54 -200032.46321440034 -202472.17135965652 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:13:30.766554
55 -203935.99624681025 -202472.17135965652 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:14:13.270353
56 -200032.46321440034 -202374.58303384628 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:14:56.004845
57 -200032.46321440034 -202276.994708036 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:15:45.528533
58 -203935.99624681025 -202374.58303384628 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:16:35.931127
59 -203935.99624681025 -202374.58303384628 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:17:27.218874
60 -203935.99624681025 -202472.17135965652 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:18:09.754019
61 -200032.46321440034 -202374.58303384628 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:18:52.358082
62 -200032.46321440034 -202276.994708036 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:19:35.269934
63 -200032.46321440034 -202179.40638222577 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:20:27.308744
64 -203935.99624681025 -202276.994708036 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:21:33.223583
65 -203935.99624681025 -202276.99470803604 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:22:37.039264
66 -203935.99624681025 -202276.994708036 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:23:37.984274
67 -203935.99624681025 -202276.994708036 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:24:39.814608
68 -200032.46321440034 -202179.40638222577 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:25:40.912982
69 -203935.99624681025 -202179.40638222577 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:26:46.968638
70 -203935.99624681025 -202179.40638222577 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:27:49.049054
71 -203935.99624681025 -202179.40638222577 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:28:52.790706
72 -200032.46321440034 -202081.81805641553 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:29:58.849797
73 -203935.99624681025 -202081.81805641553 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:30:46.565739
74 -203935.99624681025 -202179.4063822258 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:31:37.460857
75 -203935.99624681025 -202276.99470803604 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:32:31.171822
76 -200032.46321440034 -202179.4063822258 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:33:25.721353
77 -203935.99624681025 -202276.99470803607 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:34:20.294702
78 -203935.99624681025 -202374.58303384628 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:35:13.170604
79 -203935.99624681025 -202374.5830338463 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:36:05.909618
80 -203935.99624681025 -202374.5830338463 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:36:49.361440
81 -203935.99624681025 -202374.5830338463 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:37:37.591936
82 -203935.99624681025 -202472.17135965655 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:38:29.526991
83 -200032.46321440034 -202472.17135965655 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:39:18.800848
84 -200032.46321440034 -202374.58303384628 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:40:12.645153
85 -200032.46321440034 -202374.58303384628 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:41:08.014760
86 -200032.46321440034 -202374.58303384628 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:42:01.719970
87 -203935.99624681025 -202472.17135965655 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:42:44.588555
88 -200032.46321440034 -202472.17135965655 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:43:40.967727
89 -203935.99624681025 -202472.17135965655 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:44:38.147913
90 -200032.46321440034 -202472.17135965655 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:45:34.208143
91 -203935.99624681025 -202472.17135965655 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:46:18.421015
92 -200032.46321440034 -202374.5830338463 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:47:26.972762
93 -203935.99624681025 -202374.58303384628 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:48:16.886680
94 -203935.99624681025 -202472.17135965655 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:49:11.506241
95 -203935.99624681025 -202472.17135965652 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:50:08.661143
96 -200032.46321440034 -202472.17135965652 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T02:51:03.105133
