# 2: navigating to random free spots in each map; second time using the threads that block execution, but unrelated issue with taking off to initial position kept occuring with SET_POSITION_TARGET_LOCAL_NED invalid because of a certain transform being published incorrectly.
episode episodic_reward average_reward world_file timestamp
0 -15202.893746697806 -15202.893746697806 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T21:44:02.322146
1 -15209.037283227153 -15205.96551496248 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T21:45:13.285868
2 -233303.01303955365 -87904.98135649286 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T21:46:45.686051
3 -2028.1109647600738 -66435.76375855967 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T21:47:54.713326
4 -114152.98096033998 -75979.20719891573 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T21:49:38.688155
5 -80280.3797716131 -76696.06929436528 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T21:51:37.145014
6 -7341.674811888907 -66788.29865401152 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T21:52:56.894337
7 -7234.025292725456 -59344.01448385076 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T21:54:13.062991
8 -57.598513068852405 -52756.63493154166 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T21:55:26.104751
9 -14326.757915877071 -48913.647229975206 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T21:56:43.362225
10 -66.22606382771066 -44472.97257850725 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T21:57:54.730692
11 -56.59867733809363 -40771.60808674315 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T21:59:04.989532
12 -14326.902981124156 -38737.40000169554 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:00:21.364130
13 -36.54496782258096 -35973.053213561754 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:01:33.810176
14 -64.39754422169321 -33579.14283560575 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:02:45.326548
15 -7380.6530735403785 -31941.737225476667 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:04:25.908388
16 -13223.050957347905 -30840.638033233794 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:05:37.501788
17 -14353.158324988512 -29924.666938331284 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:06:51.867945
18 -13242.345650426161 -29046.650028441538 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:08:12.192655
19 -7411.389576235737 -27964.88700583125 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:09:35.304762
20 -79.17052790633358 -26636.995744977685 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:10:54.949857
21 -56.89830293332821 -25428.80949761203 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:12:08.639174
22 -13219.97890873273 -24897.99077635641 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:13:33.337346
23 -14257.82309252808 -24454.65045619689 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:14:54.933823
24 -14251.38518581829 -24046.519845381747 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:16:24.102442
25 -14304.380190728081 -23671.822166356607 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:17:46.217036
26 -68.21840882873076 -22797.6146197815 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:19:04.132981
27 -13219.495754307452 -22455.53894601457 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:20:30.463506
28 -14248.972746754975 -22172.553904660792 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:21:44.220781
29 -13176.880068731341 -21872.69811012981 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:22:58.493902
30 -65.73804550666705 -21169.247785464548 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:24:08.715272
31 -67.2281709431899 -20509.809672510753 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:25:37.757357
32 -14271.281376773586 -20320.76336051872 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:27:00.500605
33 -14339.007942784443 -20144.829377644182 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:28:29.503776
34 -13234.540848587369 -19947.392562528275 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:29:42.980059
35 -7378.276628872101 -19598.250453260047 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:30:56.244305
36 -7473.860057573262 -19270.564226349594 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:32:10.380271
37 -7299.4622899857895 -18955.53522802423 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:33:32.805182
38 -7436.860570215888 -18660.184595772735 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:34:47.778286
39 -67.21382475364355 -18195.360326497255 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:35:57.203803
40 -13083.639828843876 -18142.378978550907 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:37:26.922520
41 -61.70661339282739 -17763.695711805052 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:39:10.585407
42 -65.43638498135638 -11932.756295440742 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:40:31.121161
43 -12987.018376344196 -12206.728980730346 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:41:58.069213
44 -14516.866042671456 -9715.826107788633 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:43:32.891569
45 -7317.978803652599 -7891.7660835896195 /home/clover/SimonJonesArtifact/src/pcg/resources/worlds/2-rectangles-walls.world 2024-03-20T22:45:08.297972
